_id,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,one_room_sold,two_room_sold,three_room_sold,four_room_sold,five_room_sold,exec_sold,multigen_sold,studio_apartment_sold,one_room_rental,two_room_rental,three_room_rental,other_room_rental
7961,492D,TAMPINES ST 45,13,1992,Y,N,N,N,N,N,TAP,60,0,0,0,12,48,0,0,0,0,0,0,0
7962,492E,TAMPINES ST 45,12,2017,Y,N,N,N,N,N,TAP,253,0,0,0,0,0,0,0,0,154,99,0,0
7963,492F,TAMPINES ST 45,12,2017,Y,N,N,N,N,N,TAP,198,0,0,0,0,0,0,0,0,132,66,0,0
7964,492G,TAMPINES ST 45,12,2017,Y,N,N,N,N,N,TAP,121,0,0,77,44,0,0,0,0,0,0,0,0
7965,492H,TAMPINES ST 45,1,2018,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
7966,492J,TAMPINES ST 45,1,2018,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
7967,493,ADMIRALTY LINK,21,2002,Y,N,N,N,N,N,SB,141,0,0,0,82,59,0,0,0,0,0,0,0
7968,493,JURONG WEST ST 41,2,2018,N,Y,Y,Y,N,N,JW,0,0,0,0,0,0,0,0,0,0,0,0,0
7969,493A,JURONG WEST ST 41,1,2017,N,N,N,N,N,Y,JW,0,0,0,0,0,0,0,0,0,0,0,0,0
7970,493A,TAMPINES AVE 9,13,1992,Y,N,N,N,N,N,TAP,48,0,0,0,0,48,0,0,0,0,0,0,0
7971,493B,TAMPINES AVE 9,13,1992,Y,N,N,N,N,N,TAP,62,0,0,0,26,36,0,0,0,0,0,0,0
7972,493C,TAMPINES ST 43,13,1992,Y,N,N,N,N,N,TAP,60,0,0,0,12,48,0,0,0,0,0,0,0
7973,493D,TAMPINES ST 43,13,1992,Y,N,N,N,N,N,TAP,96,0,0,0,24,72,0,0,0,0,0,0,0
7974,493E,TAMPINES ST 43,13,1992,Y,Y,N,Y,N,N,TAP,96,0,0,0,48,48,0,0,0,0,0,0,0
7975,494,JURONG WEST ST 41,4,1985,Y,Y,N,N,N,N,JW,27,0,0,22,5,0,0,0,0,0,0,0,0
7976,494,TAMPINES ST 45,1,2018,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
7977,494A,JURONG WEST ST 41,1,2017,N,Y,N,N,N,N,JW,0,0,0,0,0,0,0,0,0,0,0,0,0
7978,494A,TAMPINES ST 43,5,1992,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
7979,494B,TAMPINES AVE 9,13,1992,Y,N,N,Y,N,N,TAP,72,0,0,0,0,72,0,0,0,0,0,0,0
7980,494C,TAMPINES ST 43,13,1992,Y,N,N,N,N,N,TAP,84,0,0,0,0,84,0,0,0,0,0,0,0
7981,494D,TAMPINES ST 43,13,2014,Y,N,N,N,N,N,TAP,151,0,20,57,0,0,0,0,74,0,0,0,0
7982,494E,TAMPINES ST 43,13,2014,Y,N,N,Y,N,N,TAP,138,0,26,46,0,0,0,0,66,0,0,0,0
7983,494F,TAMPINES ST 43,6,2014,N,N,N,N,Y,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
7984,494G,TAMPINES ST 45,12,2017,Y,N,N,N,N,N,TAP,110,0,0,55,55,0,0,0,0,0,0,0,0
7985,494H,TAMPINES ST 45,12,2017,Y,N,N,Y,N,N,TAP,110,0,0,0,55,55,0,0,0,0,0,0,0
7986,494J,TAMPINES ST 45,12,2017,Y,N,N,N,N,N,TAP,110,0,0,22,44,44,0,0,0,0,0,0,0
7987,495,JURONG WEST ST 41,4,1985,Y,Y,N,N,N,N,JW,41,0,0,34,7,0,0,0,0,0,0,0,0
