Month,Value,cpi_lag1,cpi_lag3,cpi_lag6,cpi_lag12,cpi_sma3,cpi_sma6,cpi_sma12,cpi_ema3,cpi_ema6,cpi_ema12
1989-03-01,59.714,59.773,59.616,59.641,59.028,59.701,59.60849999999999,59.47050000000001,59.69665544277516,59.62344745590435,59.45055137747704
1989-04-01,60.057,59.714,59.773,59.616,59.046,59.848000000000006,59.715833333333336,59.554750000000006,59.876827721387585,59.747319611360254,59.5438511655575
1989-05-01,60.482,60.057,59.714,59.773,59.234,60.08433333333334,59.880500000000005,59.65875,60.17941386069379,59.957228293828756,59.68818175547173
1989-06-01,60.757,60.482,60.057,59.714,59.169,60.431999999999995,60.0665,59.791083333333326,60.468206930346895,60.185734495591966,59.852615331553004
1989-07-01,60.931,60.757,60.482,60.057,59.512,60.72333333333333,60.285666666666664,59.909333333333336,60.699603465173446,60.3986674968514,60.01852066516024
1989-08-01,61.005,60.931,60.757,60.482,59.49,60.89766666666666,60.49100000000001,60.035583333333335,60.852301732586724,60.57190535489386,60.17028671667405
1989-09-01,61.001,61.005,60.931,60.757,59.544,60.979000000000006,60.7055,60.157000000000004,60.92665086629336,60.69450382492418,60.29808876026266
1989-10-01,61.309,61.001,61.005,60.931,59.413,61.105,60.91416666666667,60.315,61.11782543314668,60.87007416066013,60.45361356637609
1989-11-01,61.541,61.309,61.001,61.005,59.494,61.28366666666667,61.090666666666664,60.48558333333333,61.32941271657334,61.06176725761438,60.62090378693362
1989-12-01,61.616,61.541,61.309,61.001,59.641,61.48866666666667,61.23383333333334,60.65016666666667,61.47270635828667,61.22011946972455,60.773995512020754
1990-01-01,61.966,61.616,61.541,61.309,59.616,61.70766666666666,61.40633333333333,60.846000000000004,61.71935317914334,61.433228192660394,60.957380817863715
1990-02-01,62.087,61.966,61.616,61.541,59.773,61.88966666666667,61.586666666666666,61.038833333333336,61.90317658957167,61.62002013761456,61.131168384346225
1990-03-01,61.907,62.087,61.966,61.616,59.714,61.98666666666667,61.73766666666666,61.221583333333335,61.905088294785834,61.7020143840104,61.2505270944468
1990-04-01,62.254,61.907,62.087,61.966,60.057,62.08266666666666,61.89516666666666,61.404666666666664,62.079544147392916,61.85972456000742,61.40490754145498
1990-05-01,62.415,62.254,61.907,62.087,60.482,62.192,62.04083333333333,61.56575,62.24727207369646,62.01837468571958,61.56030638123114
1990-06-01,62.501,62.415,62.254,61.907,60.757,62.38999999999999,62.18833333333333,61.711083333333335,62.37413603684823,62.15626763265684,61.70502847642636
1990-07-01,62.53,62.501,62.415,62.254,60.931,62.482,62.28233333333333,61.84433333333333,62.452068018424114,62.2630483090406,61.83194717236077
1990-08-01,62.753,62.53,62.501,62.415,61.005,62.59466666666666,62.39333333333334,61.99,62.60253400921206,62.40303450645757,61.97364760738219
1990-09-01,63.181,62.753,62.53,62.501,61.001,62.821333333333335,62.60566666666667,62.17166666666666,62.891767004606024,62.62531036175541,62.15939412932339
1990-10-01,63.682,63.181,62.753,62.53,61.309,63.20533333333333,62.84366666666667,62.369416666666666,63.28688350230301,62.92722168696815,62.393641186350564
1990-11-01,63.666,63.682,63.181,62.753,61.541,63.50966666666667,63.052166666666665,62.5465,63.476441751151505,63.13830120497725,62.58938869614278
1990-12-01,63.969,63.666,63.682,63.181,61.616,63.772333333333336,63.29683333333333,62.74258333333333,63.72272087557575,63.3756437178409,62.801636589043895
1991-01-01,64.036,63.969,63.666,63.682,61.966,63.89033333333333,63.54783333333333,62.915083333333335,63.87936043778788,63.56431694131493,62.99153865226791
1991-02-01,64.559,64.036,63.969,63.666,62.087,64.188,63.848833333333324,63.12108333333333,64.21918021889394,63.84851210093923,63.232686551919
1991-03-01,64.249,64.559,64.036,63.969,61.907,64.28133333333334,64.02683333333333,63.31625,64.23409010944697,63.9629372149566,63.38904246700839
1991-04-01,64.583,64.249,64.559,64.036,62.254,64.46366666666667,64.177,63.51033333333333,64.40854505472348,64.14009801068327,63.57272824131479
1991-05-01,64.792,64.583,64.249,64.559,62.415,64.54133333333334,64.36466666666666,63.708416666666665,64.60027252736174,64.32635572191663,63.760308511881746
1991-06-01,64.943,64.792,64.583,64.249,62.501,64.77266666666667,64.527,63.91191666666666,64.77163626368088,64.50253980136901,63.94226104851532
1991-07-01,65.029,64.943,64.792,64.583,62.53,64.92133333333334,64.6925,64.12016666666666,64.90031813184044,64.65295700097786,64.10945165643604
1991-08-01,65.19,65.029,64.943,64.792,62.753,65.054,64.79766666666667,64.32325,65.04515906592022,64.80639785784133,64.27568986313818
1991-09-01,65.153,65.19,65.029,64.943,63.181,65.12400000000001,64.94833333333334,64.48758333333335,65.0990795329601,64.90542704131524,64.41066065342461
1991-10-01,65.182,65.153,65.19,65.029,63.682,65.175,65.04816666666666,64.61258333333333,65.14053976648006,64.98444788665374,64.52932824520545
1991-11-01,65.286,65.182,65.153,65.19,63.666,65.20700000000001,65.1305,64.74758333333334,65.21326988324003,65.0706056333241,64.64573928440461
1991-12-01,65.808,65.286,65.182,65.153,63.969,65.42533333333334,65.27466666666668,64.90083333333334,65.51063494162003,65.28128973808865,64.82454862526544
1992-01-01,65.808,65.808,65.286,65.182,64.036,65.634,65.4045,65.0485,65.65931747081001,65.43177838434903,64.97584883676306
1992-02-01,65.719,65.808,65.808,65.286,64.559,65.77833333333335,65.49266666666666,65.14516666666667,65.689158735405,65.51384170310645,65.09017978495336
1992-03-01,65.603,65.719,65.808,65.808,64.249,65.71,65.56766666666667,65.258,65.6460793677025,65.5393155022189,65.16907520265285
1992-04-01,66.015,65.603,65.719,65.808,64.583,65.77900000000001,65.70649999999999,65.37733333333334,65.83053968385124,65.67522535872779,65.2992174791678
1992-05-01,66.357,66.015,65.603,65.719,64.792,65.99166666666666,65.885,65.50775,66.09376984192562,65.87001811337699,65.46195325160352
