_id,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,one_room_sold,two_room_sold,three_room_sold,four_room_sold,five_room_sold,exec_sold,multigen_sold,studio_apartment_sold,one_room_rental,two_room_rental,three_room_rental,other_room_rental
2931,208,PUNGGOL PL,1,2013,N,N,N,N,N,Y,PG,0,0,0,0,0,0,0,0,0,0,0,0,0
2932,208,SERANGOON CTRL,12,1985,Y,Y,N,Y,N,N,SGN,102,0,0,0,50,52,0,0,0,0,0,0,0
2933,208,TAMPINES ST 21,11,1981,Y,N,N,Y,N,N,TAP,87,0,0,57,29,0,1,0,0,0,0,0,0
2934,208,TOA PAYOH NTH,16,1973,Y,N,N,N,N,N,TP,90,0,0,0,90,0,0,0,0,0,0,0,0
2935,208,WOODLEIGH LINK,1,2023,N,N,N,N,N,Y,TP,0,0,0,0,0,0,0,0,0,0,0,0,0
2936,208,YISHUN ST 21,12,1984,Y,Y,N,N,N,N,YS,110,0,0,66,44,0,0,0,0,0,0,0,0
2937,208A,BOON LAY PL,5,2001,N,N,N,N,Y,N,JW,0,0,0,0,0,0,0,0,0,0,0,0,0
2938,208A,COMPASSVALE LANE,16,2009,Y,N,N,N,N,N,SK,60,0,0,0,60,0,0,0,0,0,0,0,0
2939,208A,CLEMENTI AVE 6,38,2016,Y,N,N,N,N,N,CL,139,0,0,67,72,0,0,0,0,0,0,0,0
2940,208A,NEW UPP CHANGI RD,8,2014,N,N,N,N,Y,N,BD,0,0,0,0,0,0,0,0,0,0,0,0,0
2941,208A,PUNGGOL PL,16,2013,Y,N,N,Y,N,N,PG,90,0,0,75,15,0,0,0,0,0,0,0,0
2942,208A,TAMPINES AVE 2,11,2011,Y,N,N,N,N,N,TAP,150,0,0,0,0,0,0,0,0,110,40,0,0
2943,208A,WOODLEIGH LINK,13,2022,Y,N,N,N,N,N,TP,312,0,0,0,0,0,0,0,0,168,144,0,0
2944,208B,COMPASSVALE LANE,16,2009,Y,N,N,N,N,N,SK,60,0,0,0,60,0,0,0,0,0,0,0,0
2945,208B,CLEMENTI AVE 6,38,2016,Y,N,N,N,N,N,CL,139,0,0,67,72,0,0,0,0,0,0,0,0
2946,208B,NEW UPP CHANGI RD,1,2014,N,Y,Y,N,N,N,BD,0,0,0,0,0,0,0,0,0,0,0,0,0
2947,208B,PUNGGOL PL,16,2013,Y,N,N,Y,N,N,PG,105,0,0,90,15,0,0,0,0,0,0,0,0
2948,208C,CLEMENTI AVE 6,1,2017,N,Y,N,N,N,N,CL,0,0,0,0,0,0,0,0,0,0,0,0,0
2949,208C,NEW UPP CHANGI RD,1,2016,N,N,N,N,N,Y,BD,0,0,0,0,0,0,0,0,0,0,0,0,0
2950,208C,PUNGGOL PL,16,2012,Y,N,N,N,N,N,PG,81,0,0,57,24,0,0,0,0,0,0,0,0
2951,208D,CLEMENTI AVE 6,1,2017,N,N,N,N,N,Y,CL,0,0,0,0,0,0,0,0,0,0,0,0,0
2952,208D,NEW UPP CHANGI RD,1,2016,N,Y,N,N,N,N,BD,0,0,0,0,0,0,0,0,0,0,0,0,0
2953,209,ANG MO KIO AVE 3,10,1976,Y,N,N,Y,N,N,AMK,108,0,0,0,108,0,0,0,0,0,0,0,0
2954,209,BISHAN ST 23,13,1990,Y,N,N,N,N,N,BH,65,0,0,0,52,13,0,0,0,0,0,0,0
2955,209,BOON LAY PL,11,1976,Y,N,N,Y,N,N,JW,361,0,0,354,0,7,0,0,0,0,0,0,0
2956,209,BT BATOK ST 21,13,1984,Y,N,N,Y,N,N,BB,120,0,0,0,120,0,0,0,0,0,0,0,0
2957,209,CHOA CHU KANG CTRL,4,1989,Y,N,N,N,N,N,CCK,16,0,0,0,16,0,0,0,0,0,0,0,0
2958,209,COMPASSVALE LANE,1,2010,N,N,N,N,N,Y,SK,0,0,0,0,0,0,0,0,0,0,0,0,0
2959,209,HOUGANG ST 21,1,2010,N,N,Y,N,N,N,HG,0,0,0,0,0,0,0,0,0,0,0,0,0
2960,209,JURONG EAST ST 21,10,1982,Y,N,N,Y,N,N,JE,108,0,0,0,50,58,0,0,0,0,0,0,0
2961,209,NEW UPP CHANGI RD,4,1979,N,Y,N,N,N,N,BD,0,0,0,0,0,0,0,0,0,0,0,0,0
2962,209,PASIR RIS ST 21,12,1992,Y,N,N,N,N,N,PRC,55,0,0,0,0,0,55,0,0,0,0,0,0
2963,209,PETIR RD,4,1987,Y,N,N,N,N,N,BP,16,0,0,0,9,7,0,0,0,0,0,0,0
2964,209,PUNGGOL PL,1,2013,N,N,N,N,N,Y,PG,0,0,0,0,0,0,0,0,0,0,0,0,0
2965,209,SERANGOON CTRL,11,1985,Y,N,N,N,N,N,SGN,124,0,0,83,41,0,0,0,0,0,0,0,0
2966,209,TAMPINES ST 21,8,1981,Y,N,N,Y,N,N,TAP,84,0,0,56,28,0,0,0,0,0,0,0,0
2967,209,TOA PAYOH NTH,16,1973,Y,N,N,N,N,N,TP,90,0,0,0,89,0,0,0,0,0,0,0,1
2968,209,YISHUN ST 21,12,1984,Y,N,N,N,N,N,YS,88,0,0,0,12,76,0,0,0,0,0,0,0
2969,209A,BOON LAY PL,1,2003,N,N,N,N,N,Y,JW,0,0,0,0,0,0,0,0,0,0,0,0,0
2970,209A,CLEMENTI AVE 6,40,2022,Y,Y,N,N,N,N,CL,152,0,0,0,76,76,0,0,0,0,0,0,0
2971,209A,COMPASSVALE LANE,16,2009,Y,N,N,N,N,N,SK,90,0,0,45,45,0,0,0,0,0,0,0,0
2972,209A,PUNGGOL PL,16,2013,Y,N,N,Y,N,N,PG,105,0,0,30,75,0,0,0,0,0,0,0,0
2973,209B,CLEMENTI AVE 6,40,2023,Y,Y,N,Y,N,N,CL,152,0,0,0,76,76,0,0,0,0,0,0,0
2974,209B,COMPASSVALE LANE,16,2009,Y,N,N,N,N,N,SK,90,0,0,30,60,0,0,0,0,0,0,0,0
2975,209B,PUNGGOL PL,16,2013,Y,N,N,Y,N,N,PG,105,0,0,30,75,0,0,0,0,0,0,0,0
2976,209C,COMPASSVALE LANE,16,2010,Y,N,N,N,N,N,SK,90,0,0,30,60,0,0,0,0,0,0,0,0
2977,209C,PUNGGOL PL,16,2013,Y,N,N,N,N,N,PG,180,0,120,60,0,0,0,0,0,0,0,0,0
2978,21,BALAM RD,10,1965,Y,N,N,N,N,N,GL,120,0,0,120,0,0,0,0,0,0,0,0,0
2979,21,BEDOK STH RD,25,1975,Y,N,N,N,N,N,BD,96,0,0,0,0,96,0,0,0,0,0,0,0
2980,21,CHAI CHEE RD,12,1972,Y,Y,N,N,N,N,BD,164,0,0,162,0,2,0,0,0,0,0,0,0
2981,21,DOVER CRES,14,1975,Y,N,N,N,N,N,QT,148,0,0,140,0,8,0,0,0,0,0,0,0
2982,21,EUNOS CRES,12,1976,Y,N,N,Y,N,N,GL,153,0,0,152,0,1,0,0,0,0,0,0,0
2983,21,GHIM MOH RD,10,1976,Y,Y,N,Y,N,N,QT,188,0,0,186,0,2,0,0,0,0,0,0,0
2984,21,HAIG RD,4,1980,Y,N,N,N,N,N,GL,31,0,0,22,8,0,1,0,0,0,0,0,0
2985,21,HOLLAND DR,25,1974,Y,N,N,N,N,N,QT,96,0,0,0,0,96,0,0,0,0,0,0,0
2986,21,HOUGANG AVE 3,12,1977,Y,N,N,Y,N,N,HG,130,0,0,106,22,1,1,0,0,0,0,0,0
2987,21,JLN MEMBINA,30,2001,Y,N,N,N,N,N,BM,196,0,0,0,196,0,0,0,0,0,0,0,0
2988,21,JLN TENTERAM,10,1962,Y,N,N,N,N,N,KWN,320,0,0,0,0,0,0,0,0,0,320,0,0
2989,21,JOO SENG RD,11,1987,Y,N,N,N,N,N,TP,58,0,0,0,0,0,58,0,0,0,0,0,0
2990,21,LIM LIAK ST,4,1949,Y,N,N,N,N,N,BM,16,0,0,16,0,0,0,0,0,0,0,0,0
2991,21,LOR 3 GEYLANG,1,2023,N,N,N,Y,N,N,KWN,0,0,0,0,0,0,0,0,0,0,0,0,0
2992,21,LOR 7 TOA PAYOH,2,1969,N,Y,N,N,N,N,TP,0,0,0,0,0,0,0,0,0,0,0,0,0
2993,21,MARSILING LANE,1,2009,N,N,Y,N,N,N,WL,0,0,0,0,0,0,0,0,0,0,0,0,0
2994,21,OLD AIRPORT RD,3,1958,Y,Y,N,N,N,N,GL,14,0,0,0,0,0,0,0,0,0,0,14,0
2995,21,QUEEN'S CL,18,1994,Y,Y,N,N,N,N,QT,103,0,0,0,41,62,0,0,0,0,0,0,0
2996,21,ST. GEORGE'S RD,25,1984,Y,Y,N,N,N,N,KWN,96,0,0,0,0,96,0,0,0,0,0,0,0
